
=== Last Positions of Bodies ===
ID     X               Y               Z              
0      -0.247072       0.690632        0.000000       
1      0.231487        1.424298        0.000000       
2      -3.109099       1.939235        0.404581       
3      -3.088810       1.666052        0.527250       
4      -2.956904       1.483257        0.639771       
5      -2.686147       1.335226        0.739980       
6      -2.279323       1.187817        0.825947       
7      -1.527403       1.016151        0.896019       
8      -0.361750       0.806949        0.948846       
9      0.823770        0.566251        0.983412       
10     1.548767        0.401867        0.999052       
11     1.673658        0.402535        0.995464       
12     1.087319        0.434571        0.972718       
13     -0.141540       0.618298        0.931251       
14     -1.509890       1.046357        0.871862       
15     -1.447436       1.101627        0.795693       
16     0.417586        0.550902        0.704211       
17     0.739501        0.259842        0.599175       
18     -0.882921       1.410697        0.482608       
19     -0.601546       1.910753        0.356753       
20     0.112332        -0.397626       0.224032       
21     -0.360650       0.964038        0.087000       
22     -0.032836       1.030218        -0.051707      
23     0.445196        0.010729        -0.189419      
24     -0.412728       1.661952        -0.323485      
25     -0.905204       1.590754        -0.451326      
26     0.118819        0.518085        -0.570481      
27     0.808910        0.383762        -0.678656      
28     -1.171500       1.018696        -0.773770      
29     -1.625444       1.069393        -0.853993      
30     -0.430645       0.697281        -0.917779      
31     0.896378        0.446592        -0.963903      
32     1.592958        0.410991        -0.991476      
33     1.641269        0.414401        -0.999967      
34     1.022531        0.538477        -0.989213      
35     -0.081890       0.739871        -0.959421      
36     -1.274930       0.927540        -0.911164      
37     -2.114240       1.080096        -0.845371      
38     -2.610946       1.216774        -0.763309      
39     -2.907338       1.367101        -0.666556      
40     -3.056939       1.560317        -0.556975      
41     -3.115848       1.814616        -0.436675      
42     -3.039038       2.206882        -0.307970      
43     -2.568860       2.985857        -0.173339      
44     -0.920869       3.850798        -0.035371      
45     -0.772615       2.864305        0.000000       
46     -2.594425       2.986032        0.138394       
47     -3.156605       2.024866        0.274125       
48     -3.237844       1.543553        0.404581       
49     -3.163668       1.271343        0.527250       
50     -2.985184       1.114416        0.639771       
51     -2.714955       1.006545        0.739980       
52     -2.291834       0.924030        0.825947       
53     -1.485929       0.855628        0.896019       
54     -0.392457       0.791827        0.948846       
55     0.867508        0.698953        0.983412       
56     1.583199        0.621489        0.999052       
57     1.689450        0.640847        0.995464       
58     1.041656        0.610209        0.972718       
59     -0.215461       0.642719        0.931251       
60     -1.545003       0.868461        0.871862       
61     -1.458990       0.968092        0.795693       
62     0.443513        0.624165        0.704211       
63     0.805930        0.347709        0.599175       
64     -0.974583       1.339007        0.482608       
65     -0.634766       1.945069        0.356753       
66     -0.141333       0.183625        0.224032       
67     -0.270194       0.345911        0.087000       
68     -0.903324       0.392434        -0.051707      
69     0.125366        -0.539400       -0.189419      
70     -0.486939       1.825059        -0.323485      
71     -0.967277       1.529189        -0.451326      
72     0.199117        0.523047        -0.570481      
73     0.820037        0.491959        -0.678656      
74     -1.177975       0.905271        -0.773770      
75     -1.655320       0.900294        -0.853993      
76     -0.535859       0.680870        -0.917779      
77     0.842009        0.594975        -0.963903      
78     1.600437        0.641842        -0.991476      
79     1.681385        0.639866        -0.999967      
80     1.080855        0.692310        -0.989213      
81     -0.007160       0.762387        -0.959421      
82     -1.224370       0.805972        -0.911164      
83     -2.106904       0.849142        -0.845371      
84     -2.602356       0.920860        -0.763309      
85     -2.937547       1.019809        -0.666556      
86     -3.125657       1.169703        -0.556975      
87     -3.215092       1.426583        -0.436675      
88     -3.189507       1.868372        -0.307970      
89     -2.842690       2.659280        -0.173339      
90     -1.161958       3.747639        -0.035371      
91     -0.614181       4.095263        0.000000       
92     -2.872275       2.647139        0.138394       
93     -3.281816       1.641586        0.274125       
94     -3.295380       1.168551        0.404581       
95     -3.170172       0.906564        0.527250       
96     -2.962480       0.766352        0.639771       
97     -2.693031       0.686444        0.739980       
98     -2.255993       0.656342        0.825947       
99     -1.454740       0.690841        0.896019       
100    -0.361639       0.771187        0.948846       
101    0.899974        0.846794        0.983412       
102    1.593044        0.848847        0.999052       
103    1.677137        0.871360        0.995464       
104    0.956745        0.760248        0.972718       
105    -0.283416       0.644115        0.931251       
106    -1.577611       0.691443        0.871862       
107    -1.483123       0.799378        0.795693       
108    0.543698        0.694928        0.704211       
109    0.768935        0.495008        0.599175       
110    -1.078497       1.233255        0.482608       
111    -0.689758       1.943138        0.356753       
112    -0.081424       0.927116        0.224032       
113    -0.832415       0.195413        0.087000       
114    -0.981099       0.883165        -0.051707      
115    -0.254418       -0.216684       -0.189419      
116    -0.553252       1.904129        -0.323485      
117    -1.031113       1.459685        -0.451326      
118    0.249298        0.557803        -0.570481      
119    0.925979        0.605929        -0.678656      
120    -1.123704       0.805678        -0.773770      
121    -1.682736       0.740469        -0.853993      
122    -0.601380       0.640149        -0.917779      
123    0.767102        0.737336        -0.963903      
124    1.594276        0.879432        -0.991476      
125    1.681891        0.881150        -0.999967      
126    1.129396        0.862171        -0.989213      
127    0.067381        0.800310        -0.959421      
128    -1.153336       0.691954        -0.911164      
129    -2.044540       0.614004        -0.845371      
130    -2.570053       0.606945        -0.763309      
131    -2.919490       0.670405        -0.666556      
132    -3.125810       0.807933        -0.556975      
133    -3.261649       1.040139        -0.436675      
134    -3.297497       1.458418        -0.307970      
135    -3.065403       2.292657        -0.173339      
136    -1.161755       3.981913        -0.035371      
137    -1.201313       3.977623        0.000000       
138    -3.100508       2.238103        0.138394       
139    -3.345760       1.228225        0.274125       
140    -3.281344       0.756155        0.404581       
141    -3.111959       0.532009        0.527250       
142    -2.901310       0.406584        0.639771       
143    -2.621977       0.351940        0.739980       
144    -2.168738       0.389139        0.825947       
145    -1.391244       0.535350        0.896019       
146    -0.289255       0.769474        0.948846       
147    0.912173        1.010177        0.983412       
148    1.569362        1.108174        0.999052       
149    1.635442        1.143713        0.995464       
150    0.888446        0.923806        0.972718       
151    -0.372552       0.623352        0.931251       
152    -1.580119       0.496695        0.871862       
153    -1.473381       0.621763        0.795693       
154    0.577630        0.806247        0.704211       
155    0.758076        0.651075        0.599175       
156    -1.174643       1.096953        0.482608       
157    -0.762172       1.918065        0.356753       
158    -0.049191       1.209932        0.224032       
159    -1.178401       0.686075        0.087000       
160    -0.372265       1.292156        -0.051707      
161    -0.106690       0.646511        -0.189419      
162    -0.624596       1.927592        -0.323485      
163    -1.137866       1.353597        -0.451326      
164    0.111279        0.641626        -0.570481      
165    0.910548        0.791699        -0.678656      
166    -1.084054       0.691721        -0.773770      
167    -1.675285       0.535771        -0.853993      
168    -0.687173       0.575408        -0.917779      
169    0.665409        0.862237        -0.963903      
170    1.547006        1.136759        -0.991476      
171    1.650349        1.144510        -0.999967      
172    1.132047        1.051128        -0.989213      
173    0.138015        0.857086        -0.959421      
174    -1.085410       0.583396        -0.911164      
175    -1.926943       0.405346        -0.845371      
176    -2.464755       0.325654        -0.763309      
177    -2.846616       0.318611        -0.666556      
178    -3.069266       0.413160        -0.556975      
179    -3.241447       0.619296        -0.436675      
180    -3.336326       1.039269        -0.307970      
181    -3.234940       1.859323        -0.173339      
182    -1.702932       3.793626        -0.035371      
183    -1.817470       3.840506        0.000000       
184    -3.269372       1.710936        0.138394       
185    -3.336044       0.722902        0.274125       
186    -3.187383       0.309438        0.404581       
187    -3.004219       0.112253        0.527250       
188    -2.782283       0.015504        0.639771       
189    -2.489672       0.027209        0.739980       
190    -2.017952       0.149760        0.825947       
191    -1.296572       0.393181        0.896019       
192    -0.220412       0.786839        0.948846       
193    0.924150        1.181101        0.983412       
194    1.512220        1.351761        0.999052       
195    1.557603        1.407527        0.995464       
196    0.820769        1.104909        0.972718       
197    -0.458385       0.576088        0.931251       
198    -1.546834       0.281355        0.871862       
199    -1.409833       0.451564        0.795693       
200    0.587224        0.933438        0.704211       
201    0.666131        0.797911        0.599175       
202    -1.243349       0.969885        0.482608       
203    -0.892798       1.835056        0.356753       
204    -0.049076       1.326688        0.224032       
205    -0.733689       1.171372        0.087000       
206    -0.202133       0.732556        -0.051707      
207    0.090401        1.269160        -0.189419      
208    -0.741534       1.894514        -0.323485      
209    -1.247884       1.172329        -0.451326      
210    -0.111817       0.675986        -0.570481      
211    0.930923        0.955993        -0.678656      
212    -1.047252       0.572228        -0.773770      
213    -1.630097       0.297568        -0.853993      
214    -0.768326       0.477747        -0.917779      
215    0.579836        0.996061        -0.963903      
216    1.466111        1.395808        -0.991476      
217    1.576036        1.407105        -0.999967      
218    1.105766        1.252705        -0.989213      
219    0.157677        0.919520        -0.959421      
220    -0.977112       0.498406        -0.911164      
221    -1.781906       0.217111        -0.845371      
222    -2.327996       0.063223        -0.763309      
223    -2.704473       0.008760        -0.666556      
224    -2.960867       0.053580        -0.556975      
225    -3.147086       0.210644        -0.436675      
226    -3.297323       0.534692        -0.307970      
227    -3.329978       1.325145        -0.173339      
228    -2.219337       3.426995        -0.035371      
229    -2.312675       3.556842        0.000000       
230    -3.324171       1.071493        0.138394       
231    -3.209801       0.197450        0.274125       
232    -3.012912       -0.160898       0.404581       
233    -2.818172       -0.317173       0.527250       
234    -2.591748       -0.341302       0.639771       
235    -2.298585       -0.278172       0.739980       
236    -1.834859       -0.078604       0.825947       
237    -1.184931       0.256143        0.896019       
238    -0.123183       0.838679        0.948846       
239    0.879285        1.358734        0.983412       
240    1.412271        1.592610        0.999052       
241    1.449988        1.635472        0.995464       
242    0.718233        1.237901        0.972718       
243    -0.518387       0.505849        0.931251       
244    -1.480531       0.065685        0.871862       
245    -1.311643       0.287644        0.795693       
246    0.587109        1.072761        0.704211       
247    0.536299        0.925628        0.599175       
248    -1.293459       0.783382        0.482608       
249    -1.058596       1.675299        0.356753       
250    -0.043831       1.442448        0.224032       
251    -0.201921       0.207417        0.087000       
252    -0.688787       0.377902        -0.051707      
253    0.149918        1.417343        -0.189419      
254    -0.881037       1.816868        -0.323485      
255    -1.309048       0.982309        -0.451326      
256    -0.277301       0.654026        -0.570481      
257    0.918782        1.137629        -0.678656      
258    -0.959708       0.462666        -0.773770      
259    -1.549060       0.086684        -0.853993      
260    -0.841355       0.346571        -0.917779      
261    0.447770        1.070356        -0.963903      
262    1.348736        1.630987        -0.991476      
263    1.463081        1.661940        -0.999967      
264    1.052781        1.462322        -0.989213      
265    0.145741        0.978132        -0.959421      
266    -0.872498       0.413771        -0.911164      
267    -1.624578       0.015019        -0.845371      
268    -2.145026       -0.227202       -0.763309      
269    -2.496404       -0.335178       -0.666556      
270    -2.772322       -0.346293       -0.556975      
271    -2.969363       -0.220193       -0.436675      
272    -3.152786       0.072474        -0.307970      
273    -3.303891       0.730136        -0.173339      
274    -2.633674       3.044935        -0.035371      
275    -2.393720       2.925662        0.000000       
276    -3.200325       0.375526        0.138394       
277    -2.962928       -0.357691       0.274125       
278    -2.752288       -0.615637       0.404581       
279    -2.557215       -0.700379       0.527250       
280    -2.338177       -0.687232       0.639771       
281    -2.063377       -0.564804       0.739980       
282    -1.619955       -0.267423       0.825947       
283    -1.014719       0.182694        0.896019       
284    -0.062137       0.904421        0.948846       
285    0.811325        1.543568        0.983412       
286    1.269177        1.837580        0.999052       
287    1.292649        1.864947        0.995464       
288    0.600596        1.345986        0.972718       
289    -0.574976       0.400074        0.931251       
290    -1.380584       -0.135689       0.871862       
291    -1.169320       0.157816        0.795693       
292    0.600744        1.228247        0.704211       
293    0.368203        0.991713        0.599175       
294    -1.287917       0.543839        0.482608       
295    -1.167154       1.481817        0.356753       
296    -0.146837       1.360613        0.224032       
297    -0.795125       -0.345502       0.087000       
298    -0.980791       1.228455        -0.051707      
299    0.079193        1.412453        -0.189419      
300    -1.022659       1.645823        -0.323485      
301    -1.319937       0.759401        -0.451326      
302    -0.407638       0.581763        -0.570481      
303    0.844951        1.346386        -0.678656      
304    -0.848929       0.372750        -0.773770      
305    -1.427189       -0.116516       -0.853993      
306    -0.860472       0.198615        -0.917779      
307    0.316589        1.126521        -0.963903      
308    1.186535        1.848022        -0.991476      
309    1.308280        1.903407        -0.999967      
310    0.975360        1.672796        -0.989213      
311    0.180001        1.082878        -0.959421      
312    -0.756963       0.353020        -0.911164      
313    -1.450674       -0.180495       -0.845371      
314    -1.915971       -0.500296       -0.763309      
315    -2.231631       -0.662317       -0.666556      
316    -2.494144       -0.737788       -0.556975      
317    -2.694437       -0.691026       -0.436675      
318    -2.898754       -0.462422       -0.307970      
319    -3.129292       0.117783        -0.173339      
320    -2.925894       2.401984        -0.035371      
321    -1.954760       1.904028        0.000000       
322    -2.878915       -0.301046       0.138394       
323    -2.607529       -0.833808       0.274125       
324    -2.404941       -1.010800       0.404581       
325    -2.230520       -1.070253       0.527250       
326    -2.021168       -0.989889       0.639771       
327    -1.765818       -0.795091       0.739980       
328    -1.373381       -0.415816       0.825947       
329    -0.820753       0.155233        0.896019       
330    -0.036420       0.970801        0.948846       
331    0.699985        1.725981        0.983412       
332    1.077423        2.070707        0.999052       
333    1.091874        2.095766        0.995464       
334    0.477497        1.479295        0.972718       
335    -0.591638       0.281306        0.931251       
336    -1.226953       -0.335164       0.871862       
337    -1.000786       0.052568        0.795693       
338    0.565520        1.390643        0.704211       
339    0.160272        0.969808        0.599175       
340    -1.216445       0.329964        0.482608       
341    -1.222312       1.235620        0.356753       
342    -0.189992       1.083412        0.224032       
343    -0.993359       0.091757        0.087000       
344    -0.989341       0.492768        -0.051707      
345    -0.055381       1.273231        -0.189419      
346    -1.130370       1.368273        -0.323485      
347    -1.260530       0.508323        -0.451326      
348    -0.508010       0.453985        -0.570481      
349    0.737147        1.534004        -0.678656      
350    -0.689857       0.358781        -0.773770      
351    -1.257972       -0.317156       -0.853993      
352    -0.807845       0.061425        -0.917779      
353    0.192521        1.157804        -0.963903      
354    1.004131        2.034090        -0.991476      
355    1.121639        2.115696        -0.999967      
356    0.845683        1.857750        -0.989213      
357    0.216329        1.229790        -0.959421      
358    -0.614628       0.373057        -0.911164      
359    -1.259279       -0.286299       -0.845371      
360    -1.675946       -0.666859       -0.763309      
361    -1.958988       -0.876668       -0.666556      
362    -2.196688       -0.995728       -0.556975      
363    -2.383035       -1.002797       -0.436675      
364    -2.549674       -0.888954       -0.307970      
365    -2.782270       -0.486644       -0.173339      
366    -2.935971       1.489927        -0.035371      
367    -3.740148       0.632313        0.000000       
368    -2.406107       -0.775231       0.138394       
369    -2.174607       -1.160652       0.274125       
370    -2.024505       -1.314908       0.404581       
371    -1.873091       -1.331991       0.527250       
372    -1.681041       -1.190433       0.639771       
373    -1.453006       -0.945888       0.739980       
374    -1.133321       -0.531446       0.825947       
375    -0.675530       0.114866        0.896019       
376    -0.014670       1.074364        0.948846       
377    0.559422        1.896208        0.983412       
378    0.849994        2.270973        0.999052       
379    0.855130        2.287042        0.995464       
380    0.339460        1.595963        0.972718       
381    -0.566209       0.162313        0.931251       
382    -1.031795       -0.508559       0.871862       
383    -0.804060       -0.013755       0.795693       
384    0.473922        1.558487        0.704211       
385    -0.016857       0.917189        0.599175       
386    -1.065092       0.126095        0.482608       
387    -1.181993       0.940293        0.356753       
388    -0.068435       0.553093        0.224032       
389    -0.188475       0.521829        0.087000       
390    -1.277023       0.377158        -0.051707      
391    -0.127737       0.951721        -0.189419      
392    -1.066336       1.076562        -0.323485      
393    -1.128701       0.296623        -0.451326      
394    -0.578735       0.265395        -0.570481      
395    0.616347        1.691742        -0.678656      
396    -0.532465       0.401295        -0.773770      
397    -1.069588       -0.453940       -0.853993      
398    -0.740617       -0.077326       -0.917779      
399    0.088603        1.167705        -0.963903      
400    0.792014        2.191901        -0.991476      
401    0.905567        2.300397        -0.999967      
402    0.664593        2.019046        -0.989213      
403    0.181906        1.348047        -0.959421      
404    -0.476970       0.438152        -0.911164      
405    -1.040324       -0.334254       -0.845371      
406    -1.413898       -0.810645       -0.763309      
407    -1.657056       -1.069272       -0.666556      
408    -1.855366       -1.230159       -0.556975      
409    -2.017385       -1.273880       -0.436675      
410    -2.159161       -1.195744       -0.307970      
411    -2.329033       -0.897747       -0.173339      
412    -2.683910       0.385111        -0.035371      
413    1.824593        1.764027        0.000000       
414    -1.816861       -1.106391       0.138394       
415    -1.683317       -1.432739       0.274125       
416    -1.601766       -1.565703       0.404581       
417    -1.486968       -1.513878       0.527250       
418    -1.341332       -1.343103       0.639771       
419    -1.147286       -1.031213       0.739980       
420    -0.897065       -0.571601       0.825947       
421    -0.530290       0.160282        0.896019       
422    -0.007534       1.222953        0.948846       
423    0.394094        2.041887        0.983412       
424    0.591024        2.428583        0.999052       
425    0.592962        2.435792        0.995464       
426    0.190876        1.691219        0.972718       
427    -0.505704       0.050698        0.931251       
428    -0.825068       -0.630773       0.871862       
429    -0.608000       -0.012877       0.795693       
430    0.335197        1.709908        0.704211       
431    -0.135327       0.853679        0.599175       
432    -0.849080       0.001193        0.482608       
433    -0.955566       0.699087        0.356753       
434    0.254132        0.174042        0.224032       
435    0.272548        0.971860        0.087000       
436    -0.893750       -0.000129       -0.051707      
437    -0.100524       0.478495        -0.189419      
438    -0.718213       0.845346        -0.323485      
439    -0.921025       0.149864        -0.451326      
440    -0.562068       0.067922        -0.570481      
441    0.433913        1.839491        -0.678656      
442    -0.398576       0.455153        -0.773770      
443    -0.847713       -0.567225       -0.853993      
444    -0.648579       -0.226695       -0.917779      
445    0.007613        1.221892        -0.963903      
446    0.557368        2.324776        -0.991476      
447    0.650177        2.456879        -0.999967      
448    0.475979        2.176367        -0.989213      
449    0.110806        1.454646        -0.959421      
450    -0.384433       0.482824        -0.911164      
451    -0.817678       -0.357599       -0.845371      
452    -1.123954       -0.927640       -0.763309      
453    -1.311510       -1.229881       -0.666556      
454    -1.464986       -1.430257       -0.556975      
455    -1.607306       -1.542558       -0.436675      
456    -1.694696       -1.442758       -0.307970      
457    -1.773107       -1.205344       -0.173339      
458    -2.350347       -0.323053       -0.035371      
459    3.127110        -7.886801       0.000000       
460    -1.190384       -1.257038       0.138394       
461    -1.263248       -1.601645       0.274125       
462    -1.211943       -1.714691       0.404581       
463    -1.109799       -1.613482       0.527250       
464    -1.001808       -1.429009       0.639771       
465    -0.851435       -1.053805       0.739980       
466    -0.678232       -0.587067       0.825947       
467    -0.402015       0.260134        0.896019       
468    -0.065256       1.307435        0.948846       
469    0.203246        2.161691        0.983412       
470    0.325762        2.540716        0.999052       
471    0.323372        2.530228        0.995464       
472    0.039414        1.753237        0.972718       
473    -0.415408       -0.049847       0.931251       
474    -0.591003       -0.718286       0.871862       
475    -0.430601       0.047370        0.795693       
476    0.150806        1.829294        0.704211       
477    -0.232630       0.673101        0.599175       
478    -0.585688       -0.037478       0.482608       
479    -0.572954       0.619032        0.356753       
480    0.650688        0.187150        0.224032       
481    0.182298        0.956197        0.087000       
482    -1.198590       -0.001681       -0.051707      
483    0.199350        0.033467        -0.189419      
484    -0.138189       0.776752        -0.323485      
485    -0.658796       0.106072        -0.451326      
486    -0.434666       -0.074112       -0.570481      
487    0.205679        1.951544        -0.678656      
488    -0.295033       0.541700        -0.773770      
489    -0.597252       -0.656338       -0.853993      
490    -0.497375       -0.329737       -0.917779      
491    -0.084245       1.245454        -0.963903      
492    0.294749        2.415766        -0.991476      
493    0.358609        2.576645        -0.999967      
494    0.247573        2.305092        -0.989213      
495    0.023404        1.586755        -0.959421      
496    -0.309267       0.527410        -0.911164      
497    -0.593188       -0.367982       -0.845371      
498    -0.806929       -0.998814       -0.763309      
499    -0.945378       -1.331616       -0.666556      
