
=== Last Positions of Bodies ===
ID     X               Y               Z              
0      -0.250898       0.709915        0.000000       
1      0.088402        1.589736        0.000000       
2      -2.731126       1.388530        0.739980       
3      -1.713097       1.089466        0.896019       
4      0.481156        0.662929        0.983412       
5      1.665453        0.409578        0.995464       
6      0.275684        0.547145        0.931251       
7      -1.565041       1.146636        0.795693       
8      0.836251        0.261473        0.599176       
9      -0.613368       1.986939        0.356754       
10     -0.690616       1.037448        0.087001       
11     0.154503        0.504594        -0.189418      
12     -0.852463       1.581649        -0.451325      
13     0.589662        0.489653        -0.678655      
14     -1.561299       1.078424        -0.853992      
15     1.079986        0.430713        -0.963903      
16     1.488431        0.445654        -0.999967      
17     -0.471491       0.851566        -0.959421      
18     -2.226114       1.208056        -0.845372      
19     -2.873801       1.504491        -0.666557      
20     -3.015870       1.951029        -0.436676      
21     -2.434805       3.078458        -0.173340      
22     -0.493517       3.965284        0.000000       
23     -3.188181       1.782849        0.274125       
24     -3.140113       0.987457        0.527250       
25     -2.747398       0.720616        0.739980       
26     -1.708157       0.695519        0.896019       
27     0.531168        0.860179        0.983412       
28     1.699378        0.933309        0.995464       
29     0.116926        0.689586        0.931251       
30     -1.612790       0.813319        0.795693       
31     0.880437        0.540172        0.599176       
32     -0.731480       1.978458        0.356754       
33     -0.547127       0.128341        0.087001       
34     -0.125030       -0.396894       -0.189418      
35     -1.015949       1.434515        -0.451325      
36     0.671846        0.702198        -0.678655      
37     -1.620648       0.732996        -0.853992      
38     1.012404        0.803855        -0.963903      
39     1.524958        0.905055        -0.999967      
40     -0.435254       0.792162        -0.959421      
41     -2.219290       0.681500        -0.845372      
42     -2.926176       0.791424        -0.666557      
43     -3.196202       1.191028        -0.436676      
44     -2.927236       2.476248        -0.173340      
45     -1.602782       3.851056        0.000000       
46     -3.297683       0.802072        0.274125       
47     -3.016907       0.147810        0.527250       
48     -2.556876       0.046574        0.739980       
49     -1.530519       0.331489        0.896019       
50     0.536630        1.089306        0.983412       
51     1.580014        1.469081        0.995464       
52     -0.108556       0.731022        0.931251       
53     -1.536351       0.442414        0.795693       
54     0.807749        0.870861        0.599176       
55     -0.994237       1.814971        0.356754       
56     -0.958710       1.043593        0.087001       
57     0.036214        1.308909        -0.189418      
58     -1.229020       1.198194        -0.451325      
59     0.743896        0.977112        -0.678655      
60     -1.587268       0.327264        -0.853992      
61     0.826815        1.140000        -0.963903      
62     1.428072        1.395782        -0.999967      
63     -0.351524       0.760594        -0.959421      
64     -2.043685       0.144459        -0.845372      
65     -2.755102       0.030902        -0.666557      
66     -3.128309       0.280186        -0.436676      
67     -3.291188       1.449026        -0.173340      
68     -2.834330       3.267692        0.000000       
69     -2.994112       -0.284289       0.274125       
70     -2.602548       -0.656219       0.527250       
71     -2.162042       -0.563497       0.739980       
72     -1.251262       0.040169        0.896019       
73     0.471047        1.339907        0.983412       
74     1.303996        1.962151        0.995464       
75     -0.315411       0.633163        0.931251       
76     -1.312174       0.096537        0.795693       
77     0.568882        1.150307        0.599176       
78     -1.268140       1.484173        0.356754       
79     -0.540681       -0.324393       0.087001       
80     0.071616        1.606176        -0.189418      
81     -1.346496       0.793102        -0.451325      
82     0.721646        1.314032        -0.678655      
83     -1.409974       -0.095451       -0.853992      
84     0.577767        1.399479        -0.963903      
85     1.193713        1.861939        -0.999967      
86     -0.251032       0.791142        -0.959421      
87     -1.699266       -0.307549       -0.845372      
88     -2.337819       -0.654272       -0.666557      
89     -2.729003       -0.602177       -0.436676      
90     -3.165459       0.168014        -0.173340      
91     -3.492258       1.514263        0.000000       
92     -2.247073       -1.179021       0.274125       
93     -1.944068       -1.295078       0.527250       
94     -1.588311       -1.014969       0.739980       
95     -0.902742       -0.133686       0.896019       
96     0.321683        1.598335        0.983412       
97     0.875018        2.359947        0.995464       
98     -0.400324       0.455502        0.931251       
99     -0.944483       -0.134219       0.795693       
100    0.188013        1.214525        0.599176       
101    -1.316365       0.964706        0.356754       
102    -0.620158       0.305773        0.087001       
103    -0.171256       1.304658        -0.189418      
104    -1.208214       0.333447        -0.451325      
105    0.548177        1.667222        -0.678655      
106    -1.076558       -0.443143       -0.853992      
107    0.288845        1.559115        -0.963903      
108    0.821212        2.262944        -0.999967      
109    -0.149078       0.932688        -0.959421      
110    -1.233125       -0.601387       -0.845372      
111    -1.731424       -1.185401       -0.666557      
112    -2.035836       -1.318393       -0.436676      
113    -2.418094       -0.951458       -0.173340      
114    0.524953        6.224772        0.000000       
115    -1.344041       -1.711153       0.274125       
116    -1.150173       -1.678725       0.527250       
117    -0.920080       -1.244050       0.739980       
118    -0.545970       -0.179538       0.896019       
119    0.070162        1.820047        0.983412       
120    0.335004        2.607049        0.995464       
121    -0.347105       0.285400        0.931251       
122    -0.524440       -0.163964       0.795693       
123    -0.158531       0.951976        0.599176       
124    -0.771073       0.600787        0.356754       
125    0.109549        0.937080        0.087001       
126    0.052774        0.337861        -0.189418      
127    -0.775325       0.055114        -0.451325      
128    0.194288        1.944897        -0.678655      
129    -0.617689       -0.652445       -0.853992      
130    -0.001357       1.688738        -0.963903      
131    0.296530        2.526108        -0.999967      
132    -0.146802       1.118366        -0.959421      
133    -0.720461       -0.710173       -0.845372      
134    -1.013077       -1.475268       -0.666557      
135    -1.223140       -1.747708       -0.436676      
136    -1.377761       -1.579670       -0.173340      
137    -9.081340       -12.186538      0.000000       
138    -0.507353       -1.996837       0.274125       
139    -0.281579       -1.784513       0.527250       
140    -0.224515       -1.254602       0.739980       
141    -0.228080       -0.050489       0.896019       
142    -0.277655       1.975722        0.983412       
143    -0.271159       2.671495        0.995464       
144    -0.198444       0.196221        0.931251       
145    -0.182746       -0.027069       0.795693       
146    -0.221247       0.579339        0.599176       
147    0.081102        1.143414        0.356754       
148    -0.341622       -0.100572       0.087001       
149    0.950066        0.446639        -0.189418      
150    -0.274541       0.252309        -0.451325      
151    -0.285657       2.039157        -0.678655      
152    -0.109166       -0.692499       -0.853992      
153    -0.310088       1.740493        -0.963903      
154    -0.295967       2.621364        -0.999967      
155    -0.261377       1.306816        -0.959421      
156    -0.217540       -0.653480       -0.845372      
157    -0.235220       -1.512612       -0.666557      
158    -0.336952       -1.900993       -0.436676      
159    -0.732532       -2.009936       -0.173340      
160    48.712677       -54.217915      0.000000       
161    0.538378        -1.775397       0.274125       
162    0.582302        -1.541067       0.527250       
163    0.407634        -0.992327       0.739980       
164    -0.026058       0.194531        0.896019       
165    -0.705335       2.003772        0.983412       
166    -0.882010       2.531332        0.995464       
167    -0.032730       0.232352        0.931251       
168    0.036067        0.169505        0.795693       
169    -0.038201       0.369572        0.599176       
170    -0.217988       1.718930        0.356754       
171    0.892724        0.436896        0.087001       
172    -0.054685       1.041043        -0.189418      
173    -0.201812       0.796148        -0.451325      
174    -0.751106       1.910805        -0.678655      
175    0.356167        -0.564243       -0.853992      
176    -0.605548       1.674159        -0.963903      
177    -0.898586       2.523720        -0.999967      
178    -0.493929       1.441087        -0.959421      
179    0.187454        -0.379660       -0.845372      
180    0.513650        -1.269519       -0.666557      
181    0.605386        -1.655720       -0.436676      
182    0.417345        -1.848778       -0.173340      
183    -19.892572      12.477479       0.000000       
184    1.431035        -1.098826       0.274125       
185    1.285279        -0.998850       0.527250       
186    0.874885        -0.539297       0.739980       
187    0.029017        0.459673        0.896019       
188    -1.158500       1.876595        0.983412       
189    -1.393764       2.193689        0.995464       
190    0.107028        0.325711        0.931251       
191    0.141767        0.368242        0.795693       
192    0.216099        0.349380        0.599176       
193    -0.740835       1.641249        0.356754       
194    -0.061259       0.800968        0.087001       
195    0.637738        0.200420        -0.189418      
196    -0.563685       1.047481        -0.451325      
197    -1.099852       1.633464        -0.678655      
198    0.739896        -0.302964       -0.853992      
199    -0.866976       1.505720        -0.963903      
200    -1.447815       2.225425        -0.999967      
201    -0.797133       1.438789        -0.959421      
202    0.406830        0.008672        -0.845372      
203    1.086313        -0.779529       -0.666557      
204    1.369935        -1.080664       -0.436676      
205    1.465359        -1.049971       -0.173340      
206    -0.140150       0.541770        0.000000       
207    2.011549        -0.358966       0.274125       
208    1.728904        -0.311156       0.527250       
209    1.148077        -0.027180       0.739980       
210    -0.075671       0.686751        0.896019       
211    -1.555606       1.572677        0.983412       
212    -1.750314       1.709901        0.995464       
213    0.235138        0.436628        0.931251       
214    0.199926        0.530052        0.795693       
215    0.404353        0.472678        0.599176       
216    -0.975439       1.376575        0.356754       
217    -0.227286       0.937050        0.087001       
218    0.711933        0.635785        -0.189418      
219    -0.907227       0.915919        -0.451325      
220    -1.313190       1.294590        -0.678655      
221    1.008103        0.052049        -0.853992      
222    -1.000350       1.224071        -0.963903      
223    -1.870604       1.749290        -0.999967      
224    -1.104097       1.293725        -0.959421      
225    0.480511        0.355223        -0.845372      
226    1.422701        -0.182966       -0.666557      
227    1.856581        -0.365104       -0.436676      
228    2.111641        -0.342999       -0.173340      
229    0.056699        -0.592134       0.000000       
230    2.177522        0.646216        0.274125       
231    1.916499        0.430185        0.527250       
232    1.272082        0.475922        0.739980       
233    -0.182639       0.775541        0.896019       
234    -1.790021       1.122872        0.983412       
235    -1.909438       1.157945        0.995464       
236    0.344398        0.579797        0.931251       
237    0.216278        0.682385        0.795693       
238    0.475303        0.656331        0.599176       
239    -1.042956       1.164149        0.356754       
240    -0.341521       -0.358393       0.087001       
241    0.177087        -0.157057       -0.189418      
242    -1.053738       0.636746        -0.451325      
243    -1.392230       0.959573        -0.678655      
244    1.137600        0.455359        -0.853992      
245    -0.965658       0.922027        -0.963903      
246    -2.105773       1.168984        -0.999967      
247    -1.297492       1.010829        -0.959421      
248    0.490573        0.630630        -0.845372      
249    1.593936        0.424574        -0.666557      
250    2.059757        0.463444        -0.436676      
251    2.213167        0.925670        -0.173340      
252    -0.209160       1.829949        0.000000       
253    2.134015        1.578210        0.274125       
254    1.894232        1.158810        0.527250       
255    1.278986        0.960714        0.739980       
256    -0.187028       0.796710        0.896019       
257    -1.822109       0.631905        0.983412       
258    -1.916496       0.595120        0.995464       
259    0.389326        0.756426        0.931251       
260    0.181773        0.824121        0.795693       
261    0.464525        0.839638        0.599176       
262    -0.993638       1.004447        0.356754       
263    -0.479237       1.307132        0.087001       
264    0.208072        0.917684        -0.189418      
265    -1.006861       0.332377        -0.451325      
266    -1.390474       0.637980        -0.678655      
267    1.149211        0.874296        -0.853992      
268    -0.839340       0.686131        -0.963903      
269    -2.138471       0.566089        -0.999967      
270    -1.319558       0.679223        -0.959421      
271    0.498924        0.872335        -0.845372      
272    1.585975        1.040802        -0.666557      
273    2.024702        1.288089        -0.436676      
274    2.112806        1.973183        -0.173340      
275    -0.997409       3.310344        0.000000       
276    1.704205        2.406097        0.274125       
277    1.718884        1.853925        0.527250       
278    1.183848        1.442076        0.739980       
279    -0.134738       0.847319        0.896019       
280    -1.672329       0.189306        0.983412       
281    -1.779752       0.074612        0.995464       
282    0.404078        0.952692        0.931251       
283    0.097142        0.936333        0.795693       
284    0.368964        1.015615        0.599176       
285    -0.890562       0.611342        0.356754       
286    -0.324833       0.670258        0.087001       
287    0.020671        -0.223500       -0.189418      
288    -0.715233       -0.016935       -0.451325      
289    -1.289107       0.285891        -0.678655      
290    1.027705        1.286798        -0.853992      
291    -0.666107       0.535093        -0.963903      
292    -2.010713       0.015738        -0.999967      
293    -1.198277       0.393851        -0.959421      
294    0.500611        1.122471        -0.845372      
295    1.473220        1.613224        -0.666557      
296    1.810911        2.023358        -0.436676      
297    1.372950        2.759387        -0.173340      
298    -1.740169       3.079933        0.000000       
299    1.090210        2.968162        0.274125       
300    1.370622        2.446946        0.527250       
301    1.023826        1.900515        0.739980       
302    -0.057442       0.967340        0.896019       
303    -1.401435       -0.143054       0.983412       
304    -1.567762       -0.372721       0.995464       
305    0.326147        1.128204        0.931251       
306    0.057224        1.056021        0.795693       
307    0.215806        1.153399        0.599176       
308    -0.242007       0.482223        0.356754       
309    -0.415681       0.484684        0.087001       
310    0.612860        1.053494        -0.189418      
311    -0.313641       -0.180648       -0.451325      
312    -1.074686       -0.045436       -0.678655      
313    0.822867        1.646537        -0.853992      
314    -0.549800       0.424358        -0.963903      
315    -1.746429       -0.440291       -0.999967      
316    -0.986601       0.206145        -0.959421      
317    0.498514        1.414316        -0.845372      
318    1.264835        2.138874        -0.666557      
319    1.371786        2.627408        -0.436676      
320    0.649859        3.227447        -0.173340      
321    -2.425929       2.764361        0.000000       
322    0.527795        3.353788        0.274125       
323    0.921726        2.923489        0.527250       
324    0.772270        2.317272        0.739980       
325    0.011984        1.180391        0.896019       
326    -1.075993       -0.343836       0.983412       
327    -1.292767       -0.736124       0.995464       
328    0.180234        1.235630        0.931251       
329    0.023578        1.223610        0.795693       
330    0.046774        1.216900        0.599176       
331    -0.265664       0.964798        0.356754       
332    0.542264        0.627760        0.087001       
333    -0.023449       1.521894        -0.189418      
334    -0.060169       -0.081838       -0.451325      
335    -0.801113       -0.290472       -0.678655      
336    0.560948        1.923044        -0.853992      
337    -0.491600       0.282894        -0.963903      
338    -1.376832       -0.777613       -0.999967      
339    -0.738490       0.133210        -0.959421      
340    0.428515        1.752025        -0.845372      
341    0.898626        2.590524        -0.666557      
342    0.865107        3.093198        -0.436676      
343    0.049178        3.498867        -0.173340      
344    -1.257582       1.249063        0.000000       
345    -0.014929       3.596531        0.274125       
346    0.415888        3.278363        0.527250       
347    0.400213        2.666236        0.739980       
348    -0.016984       1.437794        0.896019       
349    -0.734032       -0.435686       0.983412       
350    -0.921253       -0.998133       0.995464       
351    0.012545        1.263235        0.931251       
352    -0.073680       1.387870        0.795693       
353    -0.112614       1.122232        0.599176       
354    -0.504064       0.902391        0.356754       
355    0.601164        1.222468        0.087001       
356    0.088735        1.498203        -0.189418      
357    0.011458        0.135625        -0.451325      
358    -0.510749       -0.444320       -0.678655      
359    0.249920        2.108413        -0.853992      
360    -0.435423       0.071935        -0.963903      
361    -0.953832       -0.985004       -0.999967      
362    -0.497195       0.198384        -0.959421      
363    0.232700        2.056881        -0.845372      
364    0.453078        2.938110        -0.666557      
365    0.340864        3.424551        -0.436676      
366    -0.485115       3.624124        -0.173340      
367    4.095314        -12.614341      0.000000       
368    -0.525443       3.693780        0.274125       
369    -0.124905       3.490149        0.527250       
370    -0.042525       2.922471        0.739980       
371    -0.145592       1.692383        0.896019       
372    -0.413302       -0.403602       0.983412       
373    -0.512034       -1.134632       0.995464       
374    -0.143409       1.162030        0.931251       
375    -0.208056       1.553083        0.795693       
376    -0.199374       0.923888        0.599176       
377    -0.501509       0.779126        0.356754       
378    0.272182        1.553596        0.087001       
379    -0.836102       1.504610        -0.189418      
380    -0.107049       0.475432        -0.451325      
381    -0.220964       -0.507419       -0.678655      
382    -0.081762       2.201622        -0.853992      
383    -0.323504       -0.204964       -0.963903      
384    -0.517845       -1.068101       -0.999967      
385    -0.320556       0.381071        -0.959421      
386    -0.057419       2.297558        -0.845372      
387    -0.032440       3.197521        -0.666557      
388    -0.201103       3.602132        -0.436676      
389    -0.940346       3.632940        -0.173340      
390    4.000845        -5.945685       0.000000       
391    -0.980535       3.666366        0.274125       
392    -0.652628       3.553093        0.527250       
393    -0.517029       3.051838        0.739980       
394    -0.358120       1.867425        0.896019       
395    -0.160607       -0.264569       0.983412       
396    -0.098692       -1.159849       0.995464       
397    -0.229119       0.936125        0.931251       
