
[Proceso 1] ========== SIMULACIÓN COMPLETADA ==========

=== Last Positions of Bodies ===
ID     X               Y               Z              
0      -0.446285       -1.076707       0.000000       
1      -0.006735       -0.297530       0.000000       
2      -3.237844       0.236093        0.404581       
3      -3.205666       -0.034057       0.527250       
4      -3.092529       -0.237551       0.639771       
5      -2.867896       -0.404461       0.739980       
6      -2.451916       -0.552790       0.825947       
7      -1.724245       -0.717501       0.896019       
8      -0.625546       -0.929738       0.948846       
9      0.538195        -1.189565       0.983412       
10     1.278093        -1.377725       0.999052       
11     1.477556        -1.417079       0.995464       
12     0.967500        -1.381784       0.972718       
13     -0.121673       -1.195562       0.931251       
14     -1.635987       -0.767719       0.871862       
15     -1.709721       -0.663386       0.795693       
16     0.086436        -1.166794       0.704211       
17     0.571963        -1.501584       0.599175       
18     -1.114545       -0.395494       0.482608       
19     -0.876976       0.126382        0.356753       
20     0.054132        -2.198125       0.224032       
21     -0.682343       -0.743572       0.087000       
22     -1.016705       -1.109576       -0.051707      
23     0.055735        -1.441513       -0.189419      
24     -0.647509       -0.188320       -0.323485      
25     -1.107633       -0.187052       -0.451326      
26     -0.023778       -1.266915       -0.570481      
27     0.516442        -1.348933       -0.678656      
28     -1.416834       -0.741098       -0.773770      
29     -1.813796       -0.706115       -0.853993      
30     -0.554539       -1.079193       -0.917779      
31     0.746737        -1.326808       -0.963903      
32     1.428141        -1.361453       -0.991476      
33     1.393357        -1.352556       -0.999967      
34     0.740981        -1.218704       -0.989213      
35     -0.349910       -0.989874       -0.959421      
36     -1.483990       -0.778322       -0.911164      
37     -2.291256       -0.612672       -0.845371      
38     -2.779552       -0.466446       -0.763309      
39     -3.067579       -0.319467       -0.666556      
40     -3.219125       -0.139771       -0.556975      
41     -3.261394       0.105765        -0.436675      
42     -3.188823       0.507370        -0.307970      
43     -2.738468       1.265676        -0.173339      
44     -1.143438       2.377729        -0.035371      
45     -0.440672       -0.566907       0.000000       
46     -2.774959       1.269633        0.138394       
47     -3.263236       0.386600        0.274125       
48     -3.325731       -0.069809       0.404581       
49     -3.262480       -0.360894       0.527250       
50     -3.128077       -0.547391       0.639771       
51     -2.851570       -0.670521       0.739980       
52     -2.389087       -0.765455       0.825947       
53     -1.685759       -0.855214       0.896019       
54     -0.507728       -0.948642       0.948846       
55     0.625917        -1.072245       0.983412       
56     1.332593        -1.168599       0.999052       
57     1.510032        -1.168114       0.995464       
58     0.934906        -1.199465       0.972718       
59     -0.203589       -1.155290       0.931251       
60     -1.687960       -0.898512       0.871862       
61     -1.729664       -0.797846       0.795693       
62     0.144609        -1.116772       0.704211       
63     0.612154        -1.404375       0.599175       
64     -1.182493       -0.468945       0.482608       
65     -0.910952       0.158823        0.356753       
66     -0.313763       -1.787455       0.224032       
67     -0.394608       -1.157185       0.087000       
68     -1.230974       -1.179400       -0.051707      
69     0.096151        -2.208348       -0.189419      
70     -0.702692       0.082080        -0.323485      
71     -1.171069       -0.253644       -0.451326      
72     0.033495        -1.251501       -0.570481      
73     0.516939        -1.235676       -0.678656      
74     -1.387950       -0.842934       -0.773770      
75     -1.850833       -0.863037       -0.853993      
76     -0.620987       -1.093459       -0.917779      
77     0.692825        -1.170236       -0.963903      
78     1.435631        -1.125352       -0.991476      
79     1.437099        -1.141830       -0.999967      
80     0.824697        -1.086869       -0.989213      
81     -0.264327       -0.974692       -0.959421      
82     -1.437038       -0.888738       -0.911164      
83     -2.235695       -0.807261       -0.845371      
84     -2.758249       -0.704289       -0.763309      
85     -3.068316       -0.569575       -0.666556      
86     -3.243042       -0.395981       -0.556975      
87     -3.324539       -0.136283       -0.436675      
88     -3.299051       0.241934        -0.307970      
89     -3.019335       0.933073        -0.173339      
90     -1.185805       2.101393        -0.035371      
91     0.312827        -1.139408       0.000000       
92     -3.029578       0.964686        0.138394       
93     -3.385187       0.035314        0.274125       
94     -3.385030       -0.424045       0.404581       
95     -3.275717       -0.688815       0.527250       
96     -3.096231       -0.841129       0.639771       
97     -2.791776       -0.934089       0.739980       
98     -2.325749       -0.992164       0.825947       
99     -1.598752       -0.996615       0.896019       
100    -0.415839       -0.947943       0.948846       
101    0.680618        -0.935087       0.983412       
102    1.362741        -0.957106       0.999052       
103    1.501634        -0.931932       0.995464       
104    0.883179        -1.018028       0.972718       
105    -0.277719       -1.123680       0.931251       
106    -1.729579       -1.055080       0.871862       
107    -1.719724       -0.938386       0.795693       
108    0.172225        -1.041852       0.704211       
109    0.629989        -1.267711       0.599175       
110    -1.256207       -0.561539       0.482608       
111    -0.934648       0.172922        0.356753       
112    -0.298098       -0.908934       0.224032       
113    -0.866321       -1.555279       0.087000       
114    -0.965636       -0.853432       -0.051707      
115    -0.388432       -2.161251       -0.189419      
116    -0.762285       0.165332        -0.323485      
117    -1.258964       -0.345799       -0.451326      
118    -0.030255       -1.193706       -0.570481      
119    0.611138        -1.124650       -0.678656      
120    -1.349078       -0.940813       -0.773770      
121    -1.872777       -1.024974       -0.853993      
122    -0.712570       -1.125033       -0.917779      
123    0.607210        -1.043864       -0.963903      
124    1.404324        -0.925950       -0.991476      
125    1.458722        -0.937953       -0.999967      
126    0.885455        -0.935482       -0.989213      
127    -0.132652       -0.941114       -0.959421      
128    -1.382119       -1.007864       -0.911164      
129    -2.170969       -1.031114       -0.845371      
130    -2.722672       -1.003751       -0.763309      
131    -3.051284       -0.909342       -0.666556      
132    -3.253842       -0.734040       -0.556975      
133    -3.370251       -0.478529       -0.436675      
134    -3.386560       -0.075853       -0.307970      
135    -3.189845       0.671023        -0.173339      
136    -1.548802       2.048462        -0.035371      
137    -0.253290       -4.822709       0.000000       
138    -3.234842       0.624732        0.138394       
139    -3.453332       -0.350181       0.274125       
140    -3.373630       -0.785875       0.404581       
141    -3.243695       -1.043137       0.527250       
142    -3.013435       -1.187750       0.639771       
143    -2.712213       -1.245716       0.739980       
144    -2.230999       -1.226813       0.825947       
145    -1.476934       -1.122333       0.896019       
146    -0.334522       -0.929847       0.948846       
147    0.706217        -0.771275       0.983412       
148    1.359295        -0.703955       0.999052       
149    1.461496        -0.680869       0.995464       
150    0.818852        -0.849440       0.972718       
151    -0.396151       -1.124033       0.931251       
152    -1.746132       -1.236641       0.871862       
153    -1.686363       -1.087831       0.795693       
154    0.248224        -0.966053       0.704211       
155    0.584918        -1.134561       0.599175       
156    -1.345130       -0.680177       0.482608       
157    -1.000324       0.145546        0.356753       
158    -0.222513       -0.452419       0.224032       
159    -1.351126       -1.186832       0.087000       
160    -0.927657       -0.418502       -0.051707      
161    -0.378512       -1.359361       -0.189419      
162    -0.876158       0.151617        -0.323485      
163    -1.345714       -0.441765       -0.451326      
164    -0.086188       -1.132848       -0.570481      
165    0.673758        -1.001917       -0.678656      
166    -1.340233       -1.058692       -0.773770      
167    -1.871858       -1.201472       -0.853993      
168    -0.832884       -1.185094       -0.917779      
169    0.509376        -0.931999       -0.963903      
170    1.356149        -0.687335       -0.991476      
171    1.449924        -0.688195       -0.999967      
172    0.897857        -0.752216       -0.989213      
173    -0.018704       -0.879043       -0.959421      
174    -1.237861       -1.095705       -0.911164      
175    -2.071524       -1.237609       -0.845371      
176    -2.627625       -1.285499       -0.763309      
177    -2.979664       -1.245952       -0.666556      
178    -3.210648       -1.136220       -0.556975      
179    -3.364827       -0.903094       -0.436675      
180    -3.443650       -0.472942       -0.307970      
181    -3.337745       0.326447        -0.173339      
182    -1.997966       1.821058        -0.035371      
183    -1.754021       1.868776        0.000000       
184    -3.390590       0.215086        0.138394       
185    -3.440962       -0.765716       0.274125       
186    -3.308551       -1.199646       0.404581       
187    -3.137144       -1.433106       0.527250       
188    -2.884043       -1.522212       0.639771       
189    -2.575147       -1.533007       0.739980       
190    -2.091146       -1.440723       0.825947       
191    -1.326357       -1.218280       0.896019       
192    -0.253428       -0.886657       0.948846       
193    0.720673        -0.600808       0.983412       
194    1.318019        -0.451717       0.999052       
195    1.387262        -0.417858       0.995464       
196    0.732928        -0.677738       0.972718       
197    -0.548816       -1.167793       0.931251       
198    -1.735142       -1.436007       0.871862       
199    -1.635453       -1.260481       0.795693       
200    0.313130        -0.865374       0.704211       
201    0.511491        -1.006344       0.599175       
202    -1.420897       -0.786605       0.482608       
203    -1.138313       0.054710        0.356753       
204    -0.213952       -0.345509       0.224032       
205    -1.157391       -0.656816       0.087000       
206    -0.590717       -1.708122       -0.051707      
207    -0.145062       -0.564332       -0.189419      
208    -0.946887       0.150794        -0.323485      
209    -1.416154       -0.546998       -0.451326      
210    -0.193404       -1.091102       -0.570481      
211    0.716558        -0.855192       -0.678656      
212    -1.300793       -1.176029       -0.773770      
213    -1.837319       -1.412817       -0.853993      
214    -0.936300       -1.276278       -0.917779      
215    0.415685        -0.805483       -0.963903      
216    1.276691        -0.443961       -0.991476      
217    1.402776        -0.434420       -0.999967      
218    0.896490        -0.555619       -0.989213      
219    0.016748        -0.806384       -0.959421      
220    -1.069788       -1.141893       -0.911164      
221    -1.902760       -1.389300       -0.845371      
222    -2.482811       -1.523031       -0.763309      
223    -2.847190       -1.539767       -0.666556      
224    -3.094645       -1.463551       -0.556975      
225    -3.292069       -1.291839       -0.436675      
226    -3.435449       -0.948181       -0.307970      
227    -3.457130       -0.131760       -0.173339      
228    -2.446034       1.768512        -0.035371      
229    -2.626082       2.035346        0.000000       
230    -3.467394       -0.256139       0.138394       
231    -3.353528       -1.253539       0.274125       
232    -3.168877       -1.638372       0.404581       
233    -2.951343       -1.818794       0.527250       
234    -2.689193       -1.864761       0.639771       
235    -2.384938       -1.821184       0.739980       
236    -1.906741       -1.641150       0.825947       
237    -1.177139       -1.301654       0.896019       
238    -0.197148       -0.831076       0.948846       
239    0.724207        -0.409043       0.983412       
240    1.235616        -0.198495       0.999052       
241    1.279530        -0.162584       0.995464       
242    0.604230        -0.542687       0.972718       
243    -0.675607       -1.248494       0.931251       
244    -1.684632       -1.648500       0.871862       
245    -1.542547       -1.429110       0.795693       
246    0.330785        -0.737037       0.704211       
247    0.416165        -0.865044       0.599175       
248    -1.478617       -0.968081       0.482608       
249    -1.265564       -0.071798       0.356753       
250    -0.269098       -0.343599       0.224032       
251    -0.411122       -1.232059       0.087000       
252    -0.741119       -1.475636       -0.051707      
253    -0.057529       -0.335081       -0.189419      
254    -1.066311       0.101791        -0.323485      
255    -1.495950       -0.736429       -0.451326      
256    -0.376772       -1.096652       -0.570481      
257    0.708414        -0.667498       -0.678656      
258    -1.203896       -1.274856       -0.773770      
259    -1.765107       -1.626116       -0.853993      
260    -1.004015       -1.395053       -0.917779      
261    0.289892        -0.727889       -0.963903      
262    1.171808        -0.223300       -0.991476      
263    1.309453        -0.176231       -0.999967      
264    0.868957        -0.345838       -0.989213      
265    0.068706        -0.706578       -0.959421      
266    -0.942987       -1.179374       -0.911164      
267    -1.717218       -1.534142       -0.845371      
268    -2.277957       -1.761416       -0.763309      
269    -2.650497       -1.861722       -0.666556      
270    -2.918531       -1.845025       -0.556975      
271    -3.132218       -1.701565       -0.436675      
272    -3.328794       -1.385101       -0.307970      
273    -3.484882       -0.675453       -0.173339      
274    -2.882271       1.417256        -0.035371      
275    -3.018284       1.511857        0.000000       
276    -3.447313       -0.898489       0.138394       
277    -3.156514       -1.795045       0.274125       
278    -2.921594       -2.094753       0.404581       
279    -2.705950       -2.187283       0.527250       
280    -2.448687       -2.170085       0.639771       
281    -2.137082       -2.049796       0.739980       
282    -1.687850       -1.785339       0.825947       
283    -1.013679       -1.335116       0.896019       
284    -0.112155       -0.727643       0.948846       
285    0.679167        -0.214259       0.983412       
286    1.114479        0.041591        0.999052       
287    1.128263        0.082211        0.995464       
