
=== Last Positions of Bodies ===
ID     X               Y               Z              
0      -0.335636       -1.508496       0.000000       
1      0.537429        -1.672649       0.000000       
2      -2.623753       -2.059288       0.555570       
3      -2.355302       -1.957136       0.707107       
4      -1.829653       -1.847137       0.831470       
5      -0.803746       -1.667311       0.923880       
6      0.713286        -1.369914       0.980785       
7      1.478590        -1.222459       1.000000       
8      1.565869        -1.193038       0.980785       
9      -0.216395       -1.464210       0.923880       
10     -1.712497       -1.947295       0.831470       
11     0.350816        -1.313183       0.707107       
12     -0.142520       -1.395521       0.555570       
13     -1.129007       -2.418581       0.382683       
14     -0.103531       -2.149151       0.195090       
15     0.016293        0.803266        -0.000000      
16     -0.101845       -2.146465       -0.195091      
17     -1.113039       -2.433982       -0.382684      
18     -0.170014       -1.404973       -0.555571      
19     0.362149        -1.304360       -0.707107      
20     -1.702234       -1.960140       -0.831470      
21     -0.220433       -1.462522       -0.923880      
22     1.559120        -1.185714       -0.980785      
23     1.477544        -1.217465       -1.000000      
24     0.705275        -1.368339       -0.980785      
25     -0.855080       -1.679955       -0.923879      
26     -1.834563       -1.851398       -0.831469      
27     -2.344595       -1.959176       -0.707106      
28     -2.625134       -2.061156       -0.555569      
29     -2.687326       -2.183439       -0.382682      
30     -2.529652       -2.503420       -0.195089      
31     -0.552738       -1.183898       0.000000       
32     -2.366964       -3.075958       0.195090       
33     -2.582763       -2.685982       0.382683       
34     -2.549822       -2.515170       0.555570       
35     -2.320754       -2.352322       0.707107       
36     -1.812840       -2.133821       0.831470       
37     -0.814302       -1.759248       0.923880       
38     0.673122        -1.196203       0.980785       
39     1.400241        -0.931632       1.000000       
40     1.499703        -0.893090       0.980785       
41     -0.163991       -1.439641       0.923880       
42     -1.641033       -2.166983       0.831470       
43     0.294901        -1.217003       0.707107       
44     -0.112562       -1.330897       0.555570       
45     -1.106941       -2.431636       0.382683       
46     -0.083265       -1.933827       0.195090       
47     -7.786439       -13.570340      -0.000000      
48     -0.079333       -1.877307       -0.195091      
49     -1.113881       -2.420194       -0.382684      
50     -0.122976       -1.331771       -0.555571      
51     0.291000        -1.225258       -0.707107      
