
=== Last Positions of Bodies ===
ID     X               Y               Z              
0      -0.300373       0.246764        0.000000       
1      0.021208        1.140518        0.000000       
2      -2.760711       0.967703        0.739980       
3      -1.799386       0.652674        0.896019       
4      0.376926        0.212985        0.983412       

[Proceso 1] ========== SIMULACIÓN COMPLETADA ==========
5      1.619833        -0.051324       0.995464       
6      0.263370        0.082112        0.931251       
7      -1.618295       0.678385        0.795693       
8      0.784961        -0.191591       0.599176       
9      -0.680018       1.515414        0.356754       
10     -0.778049       0.558612        0.087001       
11     -0.013645       0.112747        -0.189418      
12     -0.890170       1.123648        -0.451325      
13     0.534454        0.030373        -0.678655      
14     -1.606065       0.623808        -0.853992      
15     1.055102        -0.033050       -0.963903      
16     1.425552        -0.017956       -0.999967      
17     -0.534839       0.396469        -0.959421      
18     -2.284765       0.754419        -0.845372      
19     -2.925819       1.054643        -0.666557      
20     -3.061550       1.524075        -0.436676      
21     -2.425365       2.685272        -0.173340      
22     -0.650608       3.628449        0.000000       
23     -3.214305       1.388433        0.274125       
24     -3.173368       0.572000        0.527250       
25     -2.786586       0.294828        0.739980       
26     -1.773439       0.253186        0.896019       
27     0.458324        0.397322        0.983412       
28     1.652510        0.463037        0.995464       
29     0.099408        0.229473        0.931251       
30     -1.673947       0.338969        0.795693       
31     0.858242        0.098385        0.599176       
32     -0.813958       1.500250        0.356754       
33     -0.530074       -0.321001       0.087001       
34     -0.136978       -0.885237       -0.189418      
35     -1.064085       0.972750        -0.451325      
36     0.603068        0.244100        -0.678655      
37     -1.665163       0.271619        -0.853992      
38     0.967209        0.336235        -0.963903      
39     1.474003        0.431255        -0.999967      
40     -0.443173       0.346146        -0.959421      
41     -2.265168       0.248448        -0.845372      
42     -2.966765       0.371182        -0.666557      
43     -3.245316       0.774421        -0.436676      
44     -2.949072       2.081223        -0.173340      
45     -1.597482       3.441883        0.000000       
46     -3.340114       0.416169        0.274125       
47     -3.054171       -0.268146       0.527250       
48     -2.594439       -0.385683       0.739980       
49     -1.583407       -0.113686       0.896019       
50     0.484855        0.625535        0.983412       
51     1.538673        0.993951        0.995464       
52     -0.134484       0.274153        0.931251       
53     -1.599374       -0.024185       0.795693       
54     0.769438        0.412647        0.599176       
55     -1.043987       1.357658        0.356754       
56     -1.061654       0.537387        0.087001       
57     -0.012745       0.837907        -0.189418      
58     -1.278802       0.731829        -0.451325      
59     0.693691        0.509034        -0.678655      
60     -1.629575       -0.134182       -0.853992      
61     0.776079        0.660115        -0.963903      
62     1.390929        0.915627        -0.999967      
63     -0.331970       0.341750        -0.959421      
64     -2.055391       -0.247423       -0.845372      
65     -2.796912       -0.351957       -0.666557      
66     -3.181332       -0.084975       -0.436676      
67     -3.328342       1.108636        -0.173340      
68     -2.630607       2.714997        0.000000       
69     -3.051876       -0.658521       0.274125       
70     -2.650010       -1.058043       0.527250       
71     -2.189218       -0.966716       0.739980       
72     -1.279503       -0.380427       0.896019       
73     0.431707        0.884985        0.983412       
74     1.263322        1.487453        0.995464       
75     -0.332425       0.195818        0.931251       
76     -1.366443       -0.357662       0.795693       
77     0.526120        0.682267        0.599176       
78     -1.300487       1.056749        0.356754       
79     -0.535265       -0.752355       0.087001       
