
=== Last Positions of Bodies ===
ID     X               Y               Z              
0      -0.280218       -0.771792       0.000000       
1      0.578401        -0.969430       0.000000       
2      -2.653506       -1.380891       0.555570       
3      -2.415867       -1.269758       0.707107       
4      -1.826342       -1.145650       0.831470       
5      -0.786324       -0.947568       0.923880       
6      0.787762        -0.622796       0.980785       
7      1.546836        -0.479428       1.000000       
8      1.615027        -0.446305       0.980785       
9      -0.160563       -0.718258       0.923880       
10     -1.645464       -1.241601       0.831470       
11     0.465111        -0.539660       0.707107       
12     -0.127757       -0.669961       0.555570       
13     -1.039379       -1.719664       0.382683       
14     -0.028319       -1.341148       0.195090       
15     -1.435801       -1.511979       -0.000000      
16     -0.046879       -1.367137       -0.195091      
17     -1.056349       -1.704397       -0.382684      
18     -0.210393       -0.709149       -0.555571      
19     0.435299        -0.557579       -0.707107      
20     -1.654202       -1.231634       -0.831470      
21     -0.233152       -0.730767       -0.923880      
22     1.600438        -0.436055       -0.980785      
23     1.548531        -0.472773       -1.000000      
24     0.801143        -0.619142       -0.980785      
25     -0.742309       -0.941228       -0.923879      
26     -1.809080       -1.141453       -0.831469      
27     -2.384329       -1.263992       -0.707106      
28     -2.676745       -1.378947       -0.555569      
29     -2.736552       -1.530139       -0.382682      
30     -2.495237       -1.889431       -0.195089      
31     -1.747220       0.201474        0.000000       
32     -2.250404       -2.495047       0.195090       
33     -2.541254       -2.085067       0.382683       
34     -2.549247       -1.874123       0.555570       
35     -2.316107       -1.691267       0.707107       
36     -1.824282       -1.469478       0.831470       
37     -0.803984       -1.067859       0.923880       
38     0.735846        -0.443404       0.980785       
39     1.446983        -0.177384       1.000000       
40     1.537373        -0.127653       0.980785       
41     -0.119524       -0.689575       0.923880       
42     -1.570662       -1.463950       0.831470       
43     0.394725        -0.446719       0.707107       
44     -0.156361       -0.638863       0.555570       
45     -1.033811       -1.723376       0.382683       
46     -0.052983       -1.060595       0.195090       
47     -0.280325       -0.923086       -0.000000      
48     -0.052720       -1.071988       -0.195091      
49     -1.038150       -1.720127       -0.382684      
50     -0.173291       -0.649881       -0.555571      
51     0.357838        -0.470979       -0.707107      
52     -1.563489       -1.465886       -0.831470      
53     -0.186016       -0.712557       -0.923880      
54     1.529219        -0.121386       -0.980785      
55     1.446065        -0.175038       -1.000000      
56     0.726084        -0.448184       -0.980785      
57     -0.783234       -1.056848       -0.923879      
58     -1.801434       -1.457560       -0.831469      
59     -2.327662       -1.688729       -0.707106      
60     -2.561756       -1.874632       -0.555569      
61     -2.538399       -2.087382       -0.382682      
62     -2.236886       -2.499117       -0.195089      
63     1.131055        -4.053688       0.000000       
64     -2.009908       -2.932352       0.195090       
65     -2.318973       -2.537964       0.382683       
66     -2.352043       -2.311007       0.555570       
67     -2.179389       -2.080804       0.707107       
68     -1.759058       -1.776472       0.831470       
69     -0.799991       -1.183064       0.923880       
70     0.627715        -0.301007       0.980785       
71     1.309505        0.102576        1.000000       
72     1.400564        0.162356        0.980785       
73     -0.101315       -0.654397       0.923880       
74     -1.467250       -1.657264       0.831470       
75     0.314278        -0.379555       0.707107       
76     -0.161081       -0.621601       0.555570       
77     -1.029855       -1.705415       0.382683       
78     -0.236988       -0.850144       0.195090       
79     -1.184850       -3.763427       -0.000000      
80     -0.241276       -0.843995       -0.195091      
81     -1.015398       -1.727059       -0.382684      
82     -0.177376       -0.631437       -0.555571      
83     0.312868        -0.371615       -0.707107      
84     -1.463553       -1.653939       -0.831470      
85     -0.115683       -0.668789       -0.923880      
86     1.415080        0.157852        -0.980785      
87     1.312189        0.094513        -1.000000      
88     0.646279        -0.290436       -0.980785      
89     -0.770268       -1.164090       -0.923879      
90     -1.714551       -1.755181       -0.831469      
91     -2.195612       -2.091678       -0.707106      
92     -2.361887       -2.321378       -0.555569      
93     -2.315435       -2.542119       -0.382682      
94     -1.984969       -2.940715       -0.195089      
95     1.238345        -2.507500       0.000000       
96     -1.644719       -3.306894       0.195090       
97     -2.067202       -2.917228       0.382683       
98     -2.107847       -2.683083       0.555570       
99     -1.962043       -2.430260       0.707107       
100    -1.595810       -2.043881       0.831470       
101    -0.732694       -1.270673       0.923880       
102    0.516479        -0.171144       0.980785       
103    1.129474        0.338129        1.000000       
104    1.228865        0.420905        0.980785       
105    -0.126848       -0.650106       0.923880       
106    -1.343321       -1.823761       0.831470       
107    0.286536        -0.252523       0.707107       
108    -0.210419       -0.662271       0.555570       
109    -0.952936       -1.760466       0.382683       
110    -0.355606       -0.746635       0.195090       
111    48.062061       -80.116928      -0.000000      
112    -0.358272       -0.745378       -0.195091      
113    -0.938490       -1.780466       -0.382684      
114    -0.226559       -0.680269       -0.555571      
115    0.280517        -0.257811       -0.707107      
116    -1.347478       -1.815203       -0.831470      
117    -0.108818       -0.639467       -0.923880      
118    1.237911        0.411564        -0.980785      
119    1.140024        0.335287        -1.000000      
120    0.534685        -0.159618       -0.980785      
121    -0.694657       -1.233117       -0.923879      
122    -1.585185       -2.027277       -0.831469      
123    -1.989970       -2.437453       -0.707106      
124    -2.105219       -2.686962       -0.555569      
125    -2.046724       -2.941506       -0.382682      
126    -1.619929       -3.323608       -0.195089      
127    -0.062410       -0.836872       0.000000       
128    -1.170681       -3.598369       0.195090       
129    -1.700152       -3.241924       0.382683       
130    -1.799420       -2.973092       0.555570       
131    -1.683646       -2.684417       0.707107       
132    -1.354011       -2.213829       0.831470       
133    -0.595070       -1.258863       0.923880       
134    0.411117        -0.047374       0.980785       
135    0.942597        0.538928        1.000000       
136    1.007913        0.600899        0.980785       
137    -0.182764       -0.690258       0.923880       
138    -1.176860       -1.967896       0.831470       
139    0.245595        -0.128928       0.707107       
140    -0.245726       -0.706960       0.555570       
141    -0.831946       -1.832737       0.382683       
142    -0.392064       -0.716478       0.195090       
143    -19.367981      -0.762449       -0.000000      
144    -0.412221       -0.696733       -0.195091      
145    -0.840157       -1.819854       -0.382684      
146    -0.262465       -0.736634       -0.555571      
147    0.223339        -0.150177       -0.707107      
148    -1.178240       -1.960202       -0.831470      
149    -0.203867       -0.712725       -0.923880      
150    1.007840        0.618096        -0.980785      
151    0.939197        0.547393        -1.000000      
152    0.423208        -0.030129       -0.980785      
153    -0.562215       -1.224049       -0.923879      
154    -1.345234       -2.212989       -0.831469      
155    -1.685892       -2.711526       -0.707106      
156    -1.772175       -2.993085       -0.555569      
157    -1.687993       -3.265361       -0.382682      
158    -1.163843       -3.610142       -0.195089      
159    1.362981        -2.019778       0.000000       
160    -0.713607       -3.772879       0.195090       
161    -1.308963       -3.463520       0.382683       
162    -1.437458       -3.187419       0.555570       
163    -1.355985       -2.839375       0.707107       
164    -1.095328       -2.299293       0.831470       
165    -0.468362       -1.188716       0.923880       
166    0.309544        0.084609        0.980785       
167    0.738368        0.713588        1.000000       
168    0.768888        0.752121        0.980785       
169    -0.216992       -0.724912       0.923880       
170    -1.009945       -2.079232       0.831470       
171    0.188489        -0.012785       0.707107       
172    -0.301002       -0.840117       0.555570       
173    -0.686271       -1.882466       0.382683       
174    -0.326760       -0.771274       0.195090       
175    -4.483246       -4.738269       -0.000000      
176    -0.349198       -0.741326       -0.195091      
177    -0.706351       -1.849764       -0.382684      
178    -0.316644       -0.873796       -0.555571      
179    0.163013        -0.034797       -0.707107      
180    -0.999206       -2.086534       -0.831470      
181    -0.254657       -0.778154       -0.923880      
182    0.751737        0.773410        -0.980785      
183    0.712159        0.724428        -1.000000      
184    0.290707        0.073041        -0.980785      
185    -0.449370       -1.182912       -0.923879      
186    -1.052844       -2.259973       -0.831469      
187    -1.351923       -2.876297       -0.707106      
188    -1.422887       -3.201199       -0.555569      
189    -1.303774       -3.452963       -0.382682      
190    -0.742389       -3.777043       -0.195089      
191    1.613280        -2.996894       0.000000       
192    -0.490203       -3.818806       0.195090       
193    -1.010239       -3.533795       0.382683       
194    -1.093497       -3.279341       0.555570       
195    -1.032513       -2.931610       0.707107       
196    -0.822076       -2.304973       0.831470       
197    -0.373053       -1.131550       0.923880       
198    0.165532        0.179995        0.980785       
199    0.499943        0.857206        1.000000       
200    0.517796        0.865179        0.980785       
201    -0.259964       -0.823463       0.923880       
202    -0.836357       -2.157109       0.831470       
203    0.097456        0.077778        0.707107       
204    -0.365868       -1.060331       0.555570       
205    -0.565108       -1.821645       0.382683       
206    -0.242722       -0.934895       0.195090       
207    23.709812       44.533661       -0.000000      
208    -0.250562       -0.907546       -0.195091      
209    -0.571304       -1.795981       -0.382684      
210    -0.353194       -1.030600       -0.555571      
211    0.085505        0.076735        -0.707107      
212    -0.813689       -2.175098       -0.831470      
213    -0.283576       -0.858187       -0.923880      
214    0.483902        0.870081        -0.980785      
215    0.469804        0.866071        -1.000000      
216    0.149743        0.164755        -0.980785      
217    -0.377541       -1.166057       -0.923879      
218    -0.796724       -2.248979       -0.831469      
219    -1.030411       -2.933822       -0.707106      
220    -1.108310       -3.284732       -0.555569      
221    -1.039822       -3.511485       -0.382682      
222    -0.526622       -3.813253       -0.195089      
223    -7.895764       8.756166        0.000000       
224    -0.776692       -3.616314       0.195090       
225    -0.836983       -3.445660       0.382683       
226    -0.801804       -3.278392       0.555570       
227    -0.722971       -2.935615       0.707107       
228    -0.576668       -2.245705       0.831470       
