
=== Last Positions of Bodies ===
ID     X               Y               Z              
0      -0.182631       0.145959        0.000000       
1      -1.019682       -0.277357       0.000000       
2      -3.059068       0.284811        0.290285       
3      -3.136294       0.237570        0.382683       
4      -3.148909       0.184138        0.471397       
5      -3.001894       0.141312        0.555570       
6      -2.803781       0.105551        0.634393       
7      -2.481184       0.088764        0.707107       
8      -2.059874       0.086786        0.773010       
9      -1.391383       0.095187        0.831470       
10     -0.687111       0.107712        0.881921       
11     0.149409        0.116246        0.923880       
12     0.719223        0.116331        0.956940       
13     1.241933        0.102304        0.980785       
14     1.614890        0.079261        0.995185       
15     1.765795        0.089481        1.000000       
16     1.642894        0.115372        0.995185       
17     1.203235        0.129866        0.980785       
18     0.472881        0.135901        0.956940       
19     -0.572997       0.130532        0.923879       
20     -1.531327       0.121055        0.881921       
21     -1.715794       0.117086        0.831469       
22     -0.979338       0.157332        0.773010       
23     0.779204        -0.013776       0.707106       
24     0.874425        -0.206078       0.634393       
25     -0.520112       0.193161        0.555570       
26     -1.288788       0.594826        0.471396       
27     -0.918876       0.538224        0.382683       
28     0.421017        -0.564869       0.290284       
29     0.275792        -0.795154       0.195090       
30     -0.854283       -0.711300       0.098016       
31     1.694376        0.765855        -0.000001      
32     -0.820339       -0.697096       -0.098018      
33     0.152860        -0.841254       -0.195091      
34     0.420560        -0.569104       -0.290286      
35     -0.792579       0.528143        -0.382684      
36     -1.286352       0.603994        -0.471398      
37     -0.637789       0.244282        -0.555571      
38     0.861330        -0.180664       -0.634394      
39     0.820078        -0.031306       -0.707108      
40     -0.650762       0.136447        -0.773011      
41     -1.723246       0.125624        -0.831470      
42     -1.571708       0.140855        -0.881922      
43     -0.629745       0.126396        -0.923880      
44     0.455887        0.116723        -0.956940      
45     1.108094        0.103366        -0.980785      
46     1.586871        0.105061        -0.995185      
47     1.762699        0.097834        -1.000000      
48     1.590212        0.088532        -0.995185      
49     1.234626        0.104657        -0.980785      
50     0.704347        0.115923        -0.956941      
51     0.106700        0.115524        -0.923880      
52     -0.641582       0.109394        -0.881922      
53     -1.408038       0.106896        -0.831471      
54     -2.067153       0.108282        -0.773012      
55     -2.428274       0.123358        -0.707108      
56     -2.831529       0.139362        -0.634395      
57     -3.034759       0.170851        -0.555572      
58     -3.141624       0.206999        -0.471399      
59     -3.173672       0.237262        -0.382686      
60     -3.067112       0.261502        -0.290288      
61     -2.872968       0.260101        -0.195093      
62     -2.472570       0.253744        -0.098021      
63     10.701223       1.691129        -0.000004      
64     1.671032        0.419455        0.000000       
65     -2.436229       -0.051321       0.098017       
66     -2.813890       -0.036199       0.195090       
67     -2.987064       -0.034342       0.290285       
68     -3.088979       -0.054738       0.382683       
69     -3.116302       -0.083081       0.471397       
70     -2.919931       -0.099702       0.555570       
71     -2.754601       -0.104960       0.634393       
72     -2.407058       -0.087997       0.707107       
73     -1.984676       -0.056024       0.773010       
74     -1.459768       -0.009027       0.831470       
75     -0.727566       0.063739        0.881921       
76     0.203834        0.158983        0.923880       
77     0.727334        0.204212        0.956940       
78     1.298230        0.232967        0.980785       
79     1.599879        0.240663        0.995185       
80     1.757756        0.247258        1.000000       
81     1.605792        0.248784        0.995185       
82     1.116753        0.226770        0.980785       
83     0.477230        0.198845        0.956940       
84     -0.660501       0.091628        0.923879       
85     -1.585598       0.018950        0.881921       
86     -1.701792       -0.010482       0.831469       
87     -0.859026       0.096106        0.773010       
88     0.846138        0.037690        0.707106       
89     0.823708        -0.134341       0.634393       
90     -0.805657       0.268590        0.555570       
91     -1.325283       0.503858        0.471396       
92     -0.798477       0.492839        0.382683       
93     0.529312        -0.445692       0.290284       
94     0.454749        -0.666821       0.195090       
95     -0.904692       -0.758526       0.098016       
96     6.971178        -4.504818       -0.000001      
97     -0.906468       -0.754430       -0.098018      
98     0.545924        -0.595095       -0.195091      
99     0.452414        -0.514506       -0.290286      
