
=== Last Positions of Bodies ===
ID     X               Y               Z              
0      0.000000        0.000000        0.000000       
1      -1.000000       0.000000        0.000000       
2      2.831470        0.000000        0.555570       
3      2.707107        0.000000        0.707107       
4      2.555570        0.000000        0.831470       
5      2.382684        0.000000        0.923880       
6      2.195090        0.000000        0.980785       
7      2.000000        0.000000        1.000000       
8      1.804910        0.000000        0.980785       
9      1.617317        0.000000        0.923880       
10     1.444430        0.000000        0.831470       
11     1.292893        0.000000        0.707107       
12     1.168530        0.000000        0.555570       
13     1.076120        0.000000        0.382683       
14     1.019215        0.000000        0.195090       
15     1.000000        0.000000        -0.000000      
16     1.019215        0.000000        -0.195091      
17     1.076121        0.000000        -0.382684      
18     1.168531        0.000000        -0.555571      
19     1.292894        0.000000        -0.707107      
20     1.444430        0.000000        -0.831470      
21     1.617317        0.000000        -0.923880      
22     1.804911        0.000000        -0.980785      
23     2.000001        0.000000        -1.000000      
24     2.195091        0.000000        -0.980785      
25     2.382684        0.000000        -0.923879      
26     2.555571        0.000000        -0.831469      
27     2.707108        0.000000        -0.707106      
28     2.831470        0.000000        -0.555569      
29     2.923880        0.000000        -0.382682      
30     2.980786        0.000000        -0.195089      
31     2.942356        0.585271        0.000000       
32     2.923510        0.581522        0.195090       
33     2.867698        0.570421        0.382683       
34     2.777064        0.552392        0.555570       
35     2.655091        0.528130        0.707107       
36     2.506466        0.498567        0.831470       
37     2.336901        0.464839        0.923880       
38     2.152912        0.428241        0.980785       
39     1.961571        0.390181        1.000000       
40     1.770229        0.352120        0.980785       
41     1.586240        0.315523        0.923880       
42     1.416676        0.281794        0.831470       
43     1.268051        0.252231        0.707107       
44     1.146077        0.227969        0.555570       
45     1.055443        0.209941        0.382683       
46     0.999631        0.198839        0.195090       
47     0.980785        0.195090        -0.000000      
48     0.999631        0.198839        -0.195091      
49     1.055443        0.209941        -0.382684      
50     1.146078        0.227969        -0.555571      
51     1.268051        0.252231        -0.707107      
52     1.416676        0.281794        -0.831470      
53     1.586241        0.315523        -0.923880      
54     1.770230        0.352121        -0.980785      
55     1.961571        0.390181        -1.000000      
56     2.152913        0.428241        -0.980785      
57     2.336902        0.464839        -0.923879      
58     2.506467        0.498567        -0.831469      
59     2.655091        0.528131        -0.707106      
60     2.777065        0.552392        -0.555569      
61     2.867698        0.570421        -0.382682      
62     2.923511        0.581522        -0.195089      
63     2.771639        1.148050        0.000000       
64     2.753886        1.140697        0.195090       
65     2.701313        1.118920        0.382683       
66     2.615937        1.083557        0.555570       
67     2.501040        1.035965        0.707107       
68     2.361039        0.977974        0.831470       
69     2.201313        0.911813        0.923880       
70     2.027999        0.840025        0.980785       
71     1.847759        0.765367        1.000000       
72     1.667519        0.690709        0.980785       
73     1.494206        0.618920        0.923880       
74     1.334479        0.552759        0.831470       
75     1.194478        0.494769        0.707107       
76     1.079581        0.447177        0.555570       
77     0.994206        0.411813        0.382683       
78     0.941632        0.390037        0.195090       
79     0.923880        0.382683        -0.000000      
80     0.941632        0.390037        -0.195091      
81     0.994206        0.411814        -0.382684      
82     1.079582        0.447177        -0.555571      
83     1.194478        0.494769        -0.707107      
84     1.334480        0.552760        -0.831470      
85     1.494206        0.618921        -0.923880      
86     1.667520        0.690709        -0.980785      
87     1.847760        0.765367        -1.000000      
88     2.028000        0.840025        -0.980785      
89     2.201313        0.911814        -0.923879      
90     2.361040        0.977975        -0.831469      
91     2.501041        1.035965        -0.707106      
92     2.615937        1.083557        -0.555569      
93     2.701313        1.118920        -0.382682      
94     2.753887        1.140697        -0.195089      
95     2.494409        1.666711        0.000000       
96     2.478432        1.656036        0.195090       
97     2.431117        1.624420        0.382683       
98     2.354281        1.573080        0.555570       
99     2.250877        1.503988        0.707107       
100    2.124879        1.419799        0.831470       
101    1.981129        1.323748        0.923880       
102    1.825151        1.219527        0.980785       
103    1.662939        1.111140        1.000000       
104    1.500728        1.002754        0.980785       
105    1.344750        0.898533        0.923880       
106    1.200999        0.802482        0.831470       
107    1.075001        0.718293        0.707107       
108    0.971597        0.649201        0.555570       
109    0.894761        0.597860        0.382683       
110    0.847446        0.566245        0.195090       
111    0.831470        0.555570        -0.000000      
112    0.847446        0.566245        -0.195091      
113    0.894762        0.597861        -0.382684      
114    0.971598        0.649201        -0.555571      
115    1.075002        0.718293        -0.707107      
116    1.201000        0.802483        -0.831470      
117    1.344750        0.898533        -0.923880      
118    1.500728        1.002755        -0.980785      
119    1.662940        1.111141        -1.000000      
120    1.825152        1.219527        -0.980785      
121    1.981130        1.323749        -0.923879      
122    2.124880        1.419799        -0.831469      
123    2.250878        1.503989        -0.707106      
124    2.354282        1.573081        -0.555569      
125    2.431118        1.624421        -0.382682      
126    2.478433        1.656036        -0.195089      
127    2.121320        2.121320        0.000000       
128    2.107733        2.107733        0.195090       
129    2.067495        2.067495        0.382683       
130    2.002151        2.002151        0.555570       
131    1.914214        1.914214        0.707107       
132    1.807061        1.807061        0.831470       
133    1.684812        1.684812        0.923880       
134    1.552163        1.552163        0.980785       
135    1.414214        1.414214        1.000000       
136    1.276264        1.276264        0.980785       
137    1.143616        1.143616        0.923880       
138    1.021366        1.021366        0.831470       
139    0.914214        0.914214        0.707107       
140    0.826276        0.826276        0.555570       
141    0.760932        0.760932        0.382683       
142    0.720694        0.720694        0.195090       
143    0.707107        0.707107        -0.000000      
144    0.720694        0.720694        -0.195091      
145    0.760932        0.760932        -0.382684      
146    0.826276        0.826276        -0.555571      
147    0.914214        0.914214        -0.707107      
148    1.021366        1.021366        -0.831470      
149    1.143616        1.143616        -0.923880      
150    1.276264        1.276265        -0.980785      
151    1.414214        1.414214        -1.000000      
152    1.552164        1.552164        -0.980785      
153    1.684812        1.684812        -0.923879      
154    1.807062        1.807062        -0.831469      
155    1.914214        1.914214        -0.707106      
156    2.002152        2.002152        -0.555569      
157    2.067495        2.067496        -0.382682      
158    2.107734        2.107734        -0.195089      
159    1.666711        2.494409        0.000000       
160    1.656035        2.478432        0.195090       
161    1.624420        2.431117        0.382683       
162    1.573080        2.354281        0.555570       
163    1.503988        2.250877        0.707107       
164    1.419799        2.124879        0.831470       
165    1.323748        1.981129        0.923880       
166    1.219527        1.825151        0.980785       
167    1.111140        1.662939        1.000000       
168    1.002754        1.500728        0.980785       
169    0.898533        1.344750        0.923880       
170    0.802482        1.200999        0.831470       
171    0.718293        1.075001        0.707107       
172    0.649201        0.971597        0.555570       
173    0.597860        0.894761        0.382683       
174    0.566245        0.847446        0.195090       
175    0.555570        0.831470        -0.000000      
176    0.566245        0.847446        -0.195091      
177    0.597861        0.894762        -0.382684      
178    0.649201        0.971598        -0.555571      
179    0.718293        1.075002        -0.707107      
180    0.802482        1.201000        -0.831470      
181    0.898533        1.344750        -0.923880      
182    1.002755        1.500728        -0.980785      
183    1.111141        1.662940        -1.000000      
184    1.219527        1.825152        -0.980785      
185    1.323748        1.981130        -0.923879      
186    1.419799        2.124880        -0.831469      
187    1.503988        2.250878        -0.707106      
188    1.573081        2.354282        -0.555569      
189    1.624421        2.431118        -0.382682      
190    1.656036        2.478433        -0.195089      
191    1.148050        2.771639        0.000000       
192    1.140697        2.753886        0.195090       
193    1.118920        2.701313        0.382683       
194    1.083557        2.615937        0.555570       
195    1.035965        2.501040        0.707107       
196    0.977974        2.361039        0.831470       
197    0.911813        2.201313        0.923880       
198    0.840025        2.027999        0.980785       
199    0.765367        1.847759        1.000000       
200    0.690709        1.667519        0.980785       
201    0.618920        1.494206        0.923880       
202    0.552759        1.334479        0.831470       
203    0.494769        1.194478        0.707107       
204    0.447177        1.079581        0.555570       
205    0.411813        0.994206        0.382683       
206    0.390037        0.941632        0.195090       
207    0.382683        0.923880        -0.000000      
208    0.390037        0.941632        -0.195091      
209    0.411814        0.994206        -0.382684      
210    0.447177        1.079582        -0.555571      
211    0.494769        1.194478        -0.707107      
212    0.552760        1.334480        -0.831470      
213    0.618921        1.494206        -0.923880      
214    0.690709        1.667520        -0.980785      
215    0.765367        1.847760        -1.000000      
216    0.840025        2.028000        -0.980785      
217    0.911814        2.201313        -0.923879      
218    0.977975        2.361040        -0.831469      
219    1.035965        2.501041        -0.707106      
220    1.083557        2.615937        -0.555569      
221    1.118920        2.701313        -0.382682      
222    1.140697        2.753887        -0.195089      
223    0.585271        2.942356        0.000000       
224    0.581522        2.923510        0.195090       
225    0.570421        2.867698        0.382683       
226    0.552392        2.777064        0.555570       
227    0.528130        2.655090        0.707107       
228    0.498567        2.506466        0.831470       
229    0.464839        2.336901        0.923880       
230    0.428241        2.152912        0.980785       
231    0.390181        1.961571        1.000000       
232    0.352120        1.770229        0.980785       
233    0.315523        1.586240        0.923880       
234    0.281794        1.416675        0.831470       
235    0.252231        1.268051        0.707107       
236    0.227969        1.146077        0.555570       
237    0.209941        1.055443        0.382683       
238    0.198839        0.999631        0.195090       
239    0.195090        0.980785        -0.000000      
240    0.198839        0.999631        -0.195091      
241    0.209941        1.055443        -0.382684      
242    0.227969        1.146078        -0.555571      
243    0.252231        1.268051        -0.707107      
244    0.281794        1.416676        -0.831470      
245    0.315523        1.586241        -0.923880      
246    0.352121        1.770230        -0.980785      
247    0.390181        1.961571        -1.000000      
248    0.428241        2.152913        -0.980785      
249    0.464839        2.336902        -0.923879      
250    0.498567        2.506467        -0.831469      
251    0.528131        2.655091        -0.707106      
252    0.552393        2.777064        -0.555569      
253    0.570421        2.867698        -0.382682      
254    0.581523        2.923511        -0.195089      
255    0.000000        3.000000        0.000000       
256    0.000000        2.980785        0.195090       
257    0.000000        2.923880        0.382683       
258    0.000000        2.831470        0.555570       
259    0.000000        2.707107        0.707107       
260    0.000000        2.555570        0.831470       
261    0.000000        2.382684        0.923880       
262    0.000000        2.195090        0.980785       
263    0.000000        2.000000        1.000000       
264    0.000000        1.804910        0.980785       
265    0.000000        1.617317        0.923880       
266    0.000000        1.444430        0.831470       
267    0.000000        1.292893        0.707107       
268    0.000000        1.168530        0.555570       
269    0.000000        1.076120        0.382683       
270    0.000000        1.019215        0.195090       
271    0.000000        1.000000        -0.000000      
272    0.000000        1.019215        -0.195091      
273    0.000000        1.076121        -0.382684      
274    0.000000        1.168531        -0.555571      
275    0.000000        1.292894        -0.707107      
276    0.000000        1.444430        -0.831470      
277    0.000000        1.617317        -0.923880      
278    0.000000        1.804911        -0.980785      
279    0.000000        2.000001        -1.000000      
280    0.000000        2.195091        -0.980785      
281    0.000000        2.382684        -0.923879      
282    0.000000        2.555571        -0.831469      
283    0.000000        2.707108        -0.707106      
284    0.000000        2.831470        -0.555569      
285    0.000000        2.923880        -0.382682      
286    0.000000        2.980786        -0.195089      
287    -0.585271       2.942356        0.000000       
288    -0.581522       2.923510        0.195090       
289    -0.570420       2.867698        0.382683       
290    -0.552392       2.777064        0.555570       
291    -0.528130       2.655091        0.707107       
292    -0.498567       2.506466        0.831470       
293    -0.464838       2.336901        0.923880       
294    -0.428241       2.152912        0.980785       
295    -0.390180       1.961571        1.000000       
296    -0.352120       1.770229        0.980785       
297    -0.315523       1.586240        0.923880       
298    -0.281794       1.416676        0.831470       
299    -0.252231       1.268051        0.707107       
300    -0.227969       1.146077        0.555570       
301    -0.209941       1.055443        0.382683       
302    -0.198839       0.999631        0.195090       
303    -0.195090       0.980785        -0.000000      
304    -0.198839       0.999631        -0.195091      
305    -0.209941       1.055443        -0.382684      
306    -0.227969       1.146078        -0.555571      
307    -0.252231       1.268051        -0.707107      
308    -0.281794       1.416676        -0.831470      
309    -0.315523       1.586241        -0.923880      
310    -0.352120       1.770230        -0.980785      
311    -0.390181       1.961572        -1.000000      
312    -0.428241       2.152913        -0.980785      
313    -0.464838       2.336902        -0.923879      
314    -0.498567       2.506467        -0.831469      
315    -0.528130       2.655092        -0.707106      
316    -0.552392       2.777065        -0.555569      
317    -0.570420       2.867699        -0.382682      
318    -0.581522       2.923511        -0.195089      
319    -1.148050       2.771639        0.000000       
320    -1.140697       2.753887        0.195090       
321    -1.118920       2.701313        0.382683       
322    -1.083556       2.615937        0.555570       
323    -1.035964       2.501041        0.707107       
324    -0.977974       2.361039        0.831470       
325    -0.911813       2.201313        0.923880       
326    -0.840024       2.027999        0.980785       
327    -0.765367       1.847759        1.000000       
328    -0.690709       1.667519        0.980785       
329    -0.618920       1.494206        0.923880       
330    -0.552759       1.334479        0.831470       
331    -0.494769       1.194478        0.707107       
332    -0.447177       1.079581        0.555570       
333    -0.411813       0.994206        0.382683       
334    -0.390036       0.941632        0.195090       
335    -0.382683       0.923880        -0.000000      
336    -0.390036       0.941632        -0.195091      
337    -0.411813       0.994206        -0.382684      
338    -0.447177       1.079582        -0.555571      
339    -0.494769       1.194478        -0.707107      
340    -0.552759       1.334480        -0.831470      
341    -0.618920       1.494206        -0.923880      
342    -0.690709       1.667520        -0.980785      
343    -0.765367       1.847760        -1.000000      
344    -0.840025       2.028000        -0.980785      
345    -0.911814       2.201313        -0.923879      
346    -0.977974       2.361040        -0.831469      
347    -1.035965       2.501042        -0.707106      
348    -1.083556       2.615938        -0.555569      
349    -1.118920       2.701313        -0.382682      
350    -1.140697       2.753887        -0.195089      
351    -1.666710       2.494409        0.000000       
352    -1.656035       2.478432        0.195090       
353    -1.624420       2.431117        0.382683       
354    -1.573080       2.354281        0.555570       
355    -1.503988       2.250877        0.707107       
356    -1.419799       2.124879        0.831470       
357    -1.323748       1.981129        0.923880       
358    -1.219527       1.825151        0.980785       
359    -1.111140       1.662939        1.000000       
360    -1.002754       1.500728        0.980785       
361    -0.898533       1.344750        0.923880       
362    -0.802482       1.201000        0.831470       
363    -0.718293       1.075001        0.707107       
364    -0.649201       0.971597        0.555570       
365    -0.597860       0.894761        0.382683       
366    -0.566245       0.847446        0.195090       
367    -0.555570       0.831470        -0.000000      
368    -0.566245       0.847446        -0.195091      
369    -0.597861       0.894762        -0.382684      
370    -0.649201       0.971598        -0.555571      
371    -0.718293       1.075002        -0.707107      
372    -0.802482       1.201000        -0.831470      
373    -0.898533       1.344750        -0.923880      
374    -1.002754       1.500728        -0.980785      
375    -1.111141       1.662940        -1.000000      
376    -1.219527       1.825152        -0.980785      
377    -1.323748       1.981130        -0.923879      
378    -1.419799       2.124880        -0.831469      
379    -1.503988       2.250878        -0.707106      
380    -1.573080       2.354282        -0.555569      
381    -1.624421       2.431118        -0.382682      
382    -1.656036       2.478433        -0.195089      
383    -2.121320       2.121320        0.000000       
384    -2.107733       2.107733        0.195090       
385    -2.067495       2.067495        0.382683       
386    -2.002151       2.002151        0.555570       
387    -1.914214       1.914214        0.707107       
388    -1.807061       1.807061        0.831470       
389    -1.684812       1.684812        0.923880       
390    -1.552163       1.552163        0.980785       
391    -1.414214       1.414214        1.000000       
392    -1.276264       1.276264        0.980785       
393    -1.143616       1.143616        0.923880       
394    -1.021366       1.021366        0.831470       
395    -0.914214       0.914214        0.707107       
396    -0.826276       0.826276        0.555570       
397    -0.760932       0.760932        0.382683       
398    -0.720694       0.720694        0.195090       
399    -0.707107       0.707107        -0.000000      
400    -0.720694       0.720694        -0.195091      
401    -0.760932       0.760932        -0.382684      
402    -0.826276       0.826276        -0.555571      
403    -0.914214       0.914214        -0.707107      
404    -1.021366       1.021366        -0.831470      
405    -1.143616       1.143616        -0.923880      
406    -1.276265       1.276264        -0.980785      
407    -1.414214       1.414214        -1.000000      
408    -1.552164       1.552164        -0.980785      
409    -1.684812       1.684812        -0.923879      
410    -1.807062       1.807062        -0.831469      
411    -1.914214       1.914214        -0.707106      
412    -2.002152       2.002152        -0.555569      
413    -2.067495       2.067495        -0.382682      
414    -2.107734       2.107734        -0.195089      
415    -2.494409       1.666710        0.000000       
416    -2.478432       1.656035        0.195090       
417    -2.431117       1.624420        0.382683       
418    -2.354281       1.573080        0.555570       
419    -2.250877       1.503988        0.707107       
420    -2.124879       1.419798        0.831470       
421    -1.981129       1.323748        0.923880       
422    -1.825151       1.219527        0.980785       
423    -1.662939       1.111140        1.000000       
424    -1.500728       1.002754        0.980785       
425    -1.344750       0.898533        0.923880       
426    -1.201000       0.802482        0.831470       
427    -1.075001       0.718293        0.707107       
428    -0.971598       0.649201        0.555570       
429    -0.894761       0.597860        0.382683       
430    -0.847446       0.566245        0.195090       
431    -0.831470       0.555570        -0.000000      
432    -0.847446       0.566245        -0.195091      
433    -0.894762       0.597861        -0.382684      
434    -0.971598       0.649201        -0.555571      
435    -1.075002       0.718293        -0.707107      
436    -1.201000       0.802482        -0.831470      
437    -1.344750       0.898533        -0.923880      
438    -1.500728       1.002754        -0.980785      
439    -1.662940       1.111141        -1.000000      
440    -1.825152       1.219527        -0.980785      
441    -1.981130       1.323748        -0.923879      
442    -2.124880       1.419799        -0.831469      
443    -2.250878       1.503988        -0.707106      
444    -2.354282       1.573080        -0.555569      
445    -2.431118       1.624421        -0.382682      
446    -2.478433       1.656036        -0.195089      
447    -2.771639       1.148050        0.000000       
448    -2.753887       1.140697        0.195090       
449    -2.701313       1.118920        0.382683       
450    -2.615937       1.083556        0.555570       
451    -2.501041       1.035964        0.707107       
452    -2.361039       0.977974        0.831470       
453    -2.201313       0.911813        0.923880       
454    -2.027999       0.840024        0.980785       
455    -1.847759       0.765367        1.000000       
456    -1.667519       0.690709        0.980785       
457    -1.494206       0.618920        0.923880       
458    -1.334479       0.552759        0.831470       
459    -1.194478       0.494769        0.707107       
460    -1.079581       0.447177        0.555570       
461    -0.994206       0.411813        0.382683       
462    -0.941632       0.390036        0.195090       
463    -0.923880       0.382683        -0.000000      
464    -0.941632       0.390036        -0.195091      
465    -0.994206       0.411813        -0.382684      
466    -1.079582       0.447177        -0.555571      
467    -1.194478       0.494769        -0.707107      
468    -1.334480       0.552759        -0.831470      
469    -1.494206       0.618920        -0.923880      
470    -1.667520       0.690709        -0.980785      
471    -1.847760       0.765367        -1.000000      
472    -2.028000       0.840025        -0.980785      
473    -2.201313       0.911813        -0.923879      
474    -2.361040       0.977974        -0.831469      
475    -2.501042       1.035965        -0.707106      
476    -2.615938       1.083556        -0.555569      
477    -2.701313       1.118920        -0.382682      
478    -2.753887       1.140697        -0.195089      
479    -2.942356       0.585270        0.000000       
480    -2.923511       0.581522        0.195090       
481    -2.867698       0.570420        0.382683       
482    -2.777064       0.552392        0.555570       
483    -2.655091       0.528130        0.707107       
484    -2.506466       0.498566        0.831470       
485    -2.336901       0.464838        0.923880       
486    -2.152912       0.428240        0.980785       
487    -1.961571       0.390180        1.000000       
488    -1.770229       0.352120        0.980785       
489    -1.586241       0.315522        0.923880       
490    -1.416676       0.281794        0.831470       
491    -1.268051       0.252231        0.707107       
492    -1.146077       0.227969        0.555570       
493    -1.055443       0.209940        0.382683       
494    -0.999631       0.198839        0.195090       
495    -0.980785       0.195090        -0.000000      
496    -0.999631       0.198839        -0.195091      
